כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
89,10,0.0,צומת נהרייה,46.0,צומת כברי,42.0,"0.45 ק""מ מצומת כברי",213299,769025
89,20,46.0,צומת כברי,165.0,צומת מעונה,49.0,"0.35 ק""מ מצומת כברי",214082,769036
89,28,165.0,צומת מעונה,208.0,צומת חסן,200.0,לפני הכניסה לאגם מכיוון נהריה,,
90,2,26.0,מעבר גבול אילת,59.0,כניסה לחוף אלמוג,28.0,"0.2 ק""מ ממעבר גבול אילת",190532,378589
90,10,59.0,כניסה לחוף אלמוג,627.0,צומת קטורה,625.0,"0.16 ק""מ מצומת קטורה",207098,433347
90,20,627.0,צומת קטורה,1830.0,צומת הערבה,1822.0,"0.72 ק""מ מצומת הערבה",229292,543580
90,30,1830.0,צומת הערבה,2062.0,צומת זוהר,1833.0,"0.32 ק""מ מצומת הערבה",229695,544300
90,40,2062.0,צומת זוהר,2120.0,כניסה לעין בוקק,2079.0,"1.75 ק""מ מצומת זוהר",234382,561364
90,60,3753.0,צומת טירת צבי,3764.0,כניסה לבית שאן (דרום),3760.0,"0.68 ק""מ מטירת צבי",247279,710000
90,62,3764.0,כניסה לבית שאן (דרום),3796.0,צומת שאן,3789.0,"0.73 ק""מ מצומת שאן",248601,712159
90,64,3796.0,צומת שאן,3977.0,צומת למנחמיה,3801.0,"0.47 ק""מ מצומת שאן",249193,713115
90,66,3977.0,צומת למנחמיה,4038.0,צומת צמח,4027.0,"1.06 ק""מ מצומת צמח",255170,733515
90,70,4038.0,צומת צמח,4065.0,צומת כנרת,4063.0,"0.15 ק""מ מצומת כנרת",253735,736264
90,80,4065.0,צומת כנרת,4149.0,צומת טבריה,4135.0,"1.38 ק""מ מצומת טבריה",251340,742589
90,90,4149.0,צומת טבריה,4273.0,צומת כפר נחום,4211.0,"6.17 ק""מ מצומת טבריה",248126,748703
90,92,4331.0,צומת כורזים,4345.0,צומת עמיעד,4341.0,"0.42 ק""מ מצומת עמיעד",251392,757420
90,94,4345.0,צומת עמיעד,4403.0,צומת ראש פינה,4351.0,"1.01 ק""מ מצומת עמיעד",251198,758806
92,10,16.0,צומת מעגן,168.0,צומת כורסי,18.0,כמאתיים מטר מצומת מעגן,256947,734417
92,720,168.0,צומת כורסי,232.0,צומת מעלה גמלא,231.0,"6.29 ק""מ מצומת כורסי",262075,754174
92,730,232.0,צומת מעלה גמלא,261.0,צומת יהודייה,233.0,"0.14 ק""מ מצומת מעלה גמלא",262168,754405
98,10,0.0,צומת צמח,16.0,צומת מעגן,1.0,"0.66 ק""מ מצומת צמח",255954,734585
98,20,16.0,צומת מעגן,81.0,צומת חמת גדר,19.0,"0.31 ק""מ מצומת מעגן",256990,734081
109,10,0.0,מחלף אילות,10.0,כניסה למעבר גבול ערבה,6.0,"0.63 ק""מ ממחלף אילות",197062,387920
232,10,0.0,צומת מעבר רפיח,271.0,צומת מעון,217.0,"5.37 ק""מ מצומת מעון",145642,575423
234,10,0.0,צומת צאלים,232.0,צומת רעים,229.0,300 מטר מצומת רעים,148044,588387
240,10,0.0,צומת חולית,31.0,כניסה למחסום סופה,3.0,"0.29 ק""מ מצומת חולית",136633,571148
241,2,0.0,צומת מעון,85.0,צומת אורים,3.0,"0.34 ק""מ מצומת מעון",146931,580396
241,10,85.0,צומת אורים,176.0,כניסה לאופקים,169.0,"0.74 ק""מ מכניסה לאופקים",163116,581097
241,20,176.0,כניסה לאופקים,213.0,צומת גילת,206.0,"3.06 ק""מ מכניסה לאופקים",166471,582711
242,10,87.0,צומת כיסופים,115.0,צומת גמה,114.0,כמאה מטר מצומת גמה,147252,587917
264,10,1940.0,צומת הנשיא,2083.0,צומת ליד בית קמה,2081.0,"0.2 ק""מ מצומת ליד בית קמה",177523,594244
293,10,0.0,צומת הגדי,180.0,צומת קמה,2.0,"0.24 ק""מ מצומת הגדי",162930,591807
325,10,0.0,צומת דבירה,103.0,כניסה ללהב,2.0,כמאתיים מטר מצומת דביר,180043,592289
334,10,135.0,צומת איבים,303.0,צומת שדה צבי,136.0,כמאה מטר מצומת אבים,163188,604142
352,2,0.0,צומת חלץ,91.0,צומת ניר חן,2.0,"1.58 ק""מ מצומת חלץ",167718,608872
352,10,91.0,צומת ניר חן,128.0,צומת נהורה,124.0,"3.31 ק""מ מצומת ניר חן",171519,616989
353,20,240.0,כניסה ללי און,245.0,צומת לי און,242.0,"0.28 ק""מ מצומת לי און",193834,620122
367,10,0.0,צומת עציונה,85.0,צומת כפר צוריף,3.0,"0.27 ק""מ מצומת עציונה",200233,621397
375,10,0.0,צומת האלה,54.0,צומת עציונה,1.0,"1.6 ק""מ מצומת האלה",195453,621766
375,12,54.0,צומת עציונה,171.0,כניסה למבוא ביתר,69.0,"1.54 ק""מ מצומת עציונה",201232,622842
386,9,0.0,צומת צור הדסה,158.0,צומת אבן ספיר,132.0,"2.58 ק""מ מצומת אבן ספיר",212507,630665
386,10,158.0,צומת אבן ספיר,163.0,צומת כרם,160.0,"0.25 ק""מ מצומת אבן ספיר",214556,630897
